snr,psf_ratio,elongation,compactness,sharpness,n_comparison_stars,candidate_score,plate_quality_GOOD,plate_quality_MODERATE,plate_low_snr_frac,plate_snr_std,plate_elongation_mean,plate_n_high_snr,red_fits_snr,red_fits_fwhm,red_ellipticity,red_sharpness_2nd,red_n_connected_px,red_aperture_flux,red_dist_to_edge_px,red_symmetry_score,red_gradient_magnitude,red_near_bright_star,label
0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
23.93571519888224,0.6677010708443785,6.8174102322405865,0.1939254724438144,0.1602584376270727,0.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,7.735667204083299,1.9544100476116797,0.0995094914016631,448.5457267564837,7.0,26403.0,264.0,0.32260198353729297,5584.460043911552,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
16.146138287338452,0.7071067811865475,2.5235453458875923,0.1396263401595463,0.2834858441319167,20.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
15.85902833755066,0.75,1.9886626901987576,0.1168360904227609,0.1527060103345118,20.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
14.93349148914864,0.8799971911045603,2.973919943414901,0.1161831602658947,0.0949449406052198,20.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
17.728806372203408,1.0,3.0842649697030144,0.1827519272171348,0.1150501672240802,19.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
8.296468996225062,0.8660254037844386,1.6711606474752838,0.1178097245096172,0.1192063492063492,20.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
